Feature Identifier,Feature Name
http://opendatacommunities.org/id/geography/administration/lonb/E09000002,Barking and Dagenham
http://opendatacommunities.org/id/geography/administration/lonb/E09000003,Barnet
http://opendatacommunities.org/id/geography/administration/lonb/E09000004,Bexley
http://opendatacommunities.org/id/geography/administration/lonb/E09000005,Brent
http://opendatacommunities.org/id/geography/administration/lonb/E09000006,Bromley
http://opendatacommunities.org/id/geography/administration/lonb/E09000007,Camden
http://opendatacommunities.org/id/geography/administration/lonb/E09000008,Croydon
http://opendatacommunities.org/id/geography/administration/lonb/E09000009,Ealing
http://opendatacommunities.org/id/geography/administration/lonb/E09000010,Enfield
http://opendatacommunities.org/id/geography/administration/lonb/E09000011,Greenwich
http://opendatacommunities.org/id/geography/administration/lonb/E09000012,Hackney
http://opendatacommunities.org/id/geography/administration/lonb/E09000013,Hammersmith and Fulham
http://opendatacommunities.org/id/geography/administration/lonb/E09000014,Haringey
http://opendatacommunities.org/id/geography/administration/lonb/E09000015,Harrow
http://opendatacommunities.org/id/geography/administration/lonb/E09000016,Havering
http://opendatacommunities.org/id/geography/administration/lonb/E09000017,Hillingdon
http://opendatacommunities.org/id/geography/administration/lonb/E09000018,Hounslow
http://opendatacommunities.org/id/geography/administration/lonb/E09000019,Islington
http://opendatacommunities.org/id/geography/administration/lonb/E09000020,Kensington and Chelsea
http://opendatacommunities.org/id/geography/administration/lonb/E09000021,Kingston upon Thames
http://opendatacommunities.org/id/geography/administration/lonb/E09000022,Lambeth
http://opendatacommunities.org/id/geography/administration/lonb/E09000023,Lewisham
http://opendatacommunities.org/id/geography/administration/lonb/E09000024,Merton
http://opendatacommunities.org/id/geography/administration/lonb/E09000025,Newham
http://opendatacommunities.org/id/geography/administration/lonb/E09000026,Redbridge
http://opendatacommunities.org/id/geography/administration/lonb/E09000027,Richmond upon Thames
http://opendatacommunities.org/id/geography/administration/lonb/E09000028,Southwark
http://opendatacommunities.org/id/geography/administration/lonb/E09000029,Sutton
http://opendatacommunities.org/id/geography/administration/lonb/E09000030,Tower Hamlets
http://opendatacommunities.org/id/geography/administration/lonb/E09000031,Waltham Forest
http://opendatacommunities.org/id/geography/administration/lonb/E09000032,Wandsworth
http://opendatacommunities.org/id/geography/administration/lonb/E09000033,Westminster
